Estatísticas para UPLOAD (sem outliers):
tree_ORTHOMCL1.nexus: média=23804.08 bps, std=2812.74, mediana=24304.76, min=18845.70, max=26874.72, n=5, outliers=0
tree_ORTHOMCL1000.nexus: média=40474.02 bps, std=1799.29, mediana=39805.08, min=39090.00, max=44033.12, n=5, outliers=0
tree_ORTHOMCL1002.nexus: média=40854.61 bps, std=10065.66, mediana=42608.41, min=21752.22, max=49980.10, n=5, outliers=0
tree_ORTHOMCL1003.nexus: média=44571.33 bps, std=5949.07, mediana=43036.29, min=39985.72, max=56189.05, n=5, outliers=0
tree_ORTHOMCL1005.nexus: média=51857.53 bps, std=4795.04, mediana=52804.89, min=44455.13, max=58448.50, n=5, outliers=0
tree_ORTHOMCL1006.nexus: média=43318.97 bps, std=5687.96, mediana=40019.11, min=38023.74, max=50544.34, n=5, outliers=0
tree_ORTHOMCL1007.nexus: média=46730.56 bps, std=6805.73, mediana=44194.57, min=40943.85, max=60075.95, n=5, outliers=0
tree_ORTHOMCL1008.nexus: média=44479.48 bps, std=7447.62, mediana=40029.21, min=36053.15, max=54252.44, n=5, outliers=0
tree_ORTHOMCL1009.nexus: média=44979.65 bps, std=5382.43, mediana=42702.74, min=39667.77, max=53365.91, n=5, outliers=0
tree_ORTHOMCL1018.nexus: média=44701.62 bps, std=5903.54, mediana=41633.78, min=37233.95, max=53110.30, n=5, outliers=0
tree_ORTHOMCL1021.nexus: média=43736.49 bps, std=5023.96, mediana=43683.51, min=37570.13, max=52086.41, n=5, outliers=0
tree_ORTHOMCL1023.nexus: média=49248.82 bps, std=6282.85, mediana=50651.98, min=40099.11, max=57049.44, n=5, outliers=0
tree_ORTHOMCL1027.nexus: média=42388.70 bps, std=3330.60, mediana=41114.28, min=39556.47, max=48545.16, n=5, outliers=0
tree_ORTHOMCL1029.nexus: média=50808.19 bps, std=4529.56, mediana=53010.62, min=43618.09, max=56425.85, n=5, outliers=0
tree_ORTHOMCL1033.nexus: média=41920.54 bps, std=5104.53, mediana=39516.96, min=38300.36, max=51901.17, n=5, outliers=0
tree_ORTHOMCL1034.nexus: média=50819.00 bps, std=6532.19, mediana=53565.15, min=40542.72, max=57118.17, n=5, outliers=0
tree_ORTHOMCL1038.nexus: média=44744.33 bps, std=6496.16, mediana=41815.34, min=39462.36, max=57492.06, n=5, outliers=0
tree_ORTHOMCL1039.nexus: média=42748.95 bps, std=5882.74, mediana=41478.80, min=35589.73, max=53543.69, n=5, outliers=0
tree_ORTHOMCL1042.nexus: média=49726.53 bps, std=10449.92, mediana=45043.36, min=40281.78, max=68985.14, n=5, outliers=0
tree_ORTHOMCL1043.nexus: média=40585.23 bps, std=5045.94, mediana=38637.44, min=34993.72, max=49702.56, n=5, outliers=0
tree_ORTHOMCL1074.nexus: média=48523.37 bps, std=7905.73, mediana=47778.56, min=39305.89, max=61897.92, n=5, outliers=0
tree_ORTHOMCL1083.nexus: média=45633.60 bps, std=7310.00, mediana=41690.38, min=39609.83, max=59675.23, n=5, outliers=0
tree_ORTHOMCL1087.nexus: média=40245.52 bps, std=4222.24, mediana=38726.70, min=36211.32, max=48253.42, n=5, outliers=0
