Estatísticas para DOWNLOAD (sem outliers):
tree_ORTHOMCL1.nexus: média=16892.09 bps, std=3089.69, mediana=15383.82, min=13745.02, max=22643.16, n=5, outliers=0
tree_ORTHOMCL1000.nexus: média=26598.25 bps, std=3406.88, mediana=27041.44, min=23192.99, max=32464.08, n=5, outliers=0
tree_ORTHOMCL1002.nexus: média=29863.02 bps, std=2419.07, mediana=30334.74, min=27046.63, max=32448.96, n=5, outliers=0
tree_ORTHOMCL1003.nexus: média=29554.88 bps, std=2454.86, mediana=28750.32, min=27047.58, max=32469.78, n=5, outliers=0
tree_ORTHOMCL1005.nexus: média=26586.49 bps, std=3411.77, mediana=27042.30, min=23179.68, max=32472.65, n=5, outliers=0
tree_ORTHOMCL1006.nexus: média=28434.02 bps, std=3565.66, mediana=27059.38, min=23178.69, max=32449.83, n=5, outliers=0
tree_ORTHOMCL1007.nexus: média=30450.87 bps, std=2653.81, mediana=32579.13, min=27199.23, max=32666.61, n=5, outliers=0
tree_ORTHOMCL1008.nexus: média=26959.08 bps, std=2932.39, mediana=26627.65, min=22856.60, max=32042.65, n=5, outliers=0
tree_ORTHOMCL1009.nexus: média=26849.21 bps, std=3856.08, mediana=27123.71, min=20366.22, max=32514.41, n=5, outliers=0
tree_ORTHOMCL1018.nexus: média=29361.87 bps, std=2659.69, mediana=27208.81, min=27174.96, max=32654.79, n=5, outliers=0
tree_ORTHOMCL1021.nexus: média=26597.53 bps, std=4494.75, mediana=26907.71, min=20188.90, max=32314.08, n=5, outliers=0
tree_ORTHOMCL1023.nexus: média=30516.53 bps, std=3026.49, mediana=32641.08, min=26139.83, max=33140.21, n=5, outliers=0
tree_ORTHOMCL1027.nexus: média=29122.53 bps, std=2041.65, mediana=28427.23, min=26299.68, max=32002.85, n=5, outliers=0
tree_ORTHOMCL1029.nexus: média=28798.10 bps, std=3361.02, mediana=27519.92, min=23975.38, max=32638.87, n=5, outliers=0
tree_ORTHOMCL1033.nexus: média=28637.82 bps, std=2099.35, mediana=27066.59, min=27018.45, max=32254.48, n=5, outliers=0
tree_ORTHOMCL1034.nexus: média=25042.10 bps, std=8207.36, mediana=26659.94, min=9981.85, max=35128.26, n=5, outliers=0
tree_ORTHOMCL1038.nexus: média=26598.39 bps, std=3398.12, mediana=27035.30, min=23202.18, max=32471.02, n=5, outliers=0
tree_ORTHOMCL1039.nexus: média=30293.53 bps, std=2648.64, mediana=32447.38, min=27048.61, max=32462.17, n=5, outliers=0
